energy_prediction,angular_resolution
0.015886564694485635,0.2676732043583703
0.025178508235883353,0.2439197456641731
0.03990524629937761,0.2266907714022366
0.06324555320336761,0.20270343865926443
0.1002374467254545,0.1801433624865394
0.15886564694485633,0.15993361343070517
0.2517850823588335,0.11584546076355604
0.3990524629937762,0.08091073541995687
0.6324555320336762,0.0777422147567497
1.002374467254545,0.07645090591231313
1.5886564694485636,0.07246260905817933
2.5178508235883355,0.07542497176464262
3.990524629937762,0.07434917674463366
6.324555320336763,0.07011350840675455
10.023744672545451,0.06568025813515503
15.886564694485637,0.07082977745533872
25.178508235883353,0.07337448613589985
39.90524629937762,0.07630282495102425
63.245553203367656,0.09189318714265679
100.23744672545462,0.11079822915498683
158.86564694485645,0.14918149377312645
