background_counts,multiplicity,prediction_cut,sensitivity,sensitivity_high,sensitivity_low,signal_counts,significance,theta_cut,total_bkg_counts,valid,weighted_background_counts,weighted_signal_counts,e_min,e_max
34.272,2.0,0.75,0.06887730543846451,0.0698578654693333,0.067940977962037,3119,67.08160966810395,0.12,476,True,125557.81673453239,12684.817626079777,0.020000000000000004,0.03169786384922229
175.42300000000003,2.0,0.6000000000000001,0.03198834916469556,0.03217737534681548,0.031779921905850377,13840,143.91470692947462,0.17,1214,True,572791.7460018848,58145.94386990323,0.03169786384922229,0.05023772863019162
293.624,2.0,0.6000000000000001,0.013015386924054562,0.013069053135038073,0.012952488236537,38918,327.90292733868506,0.17,2032,True,774710.3964881152,166100.7598878078,0.05023772863019162,0.07962143411069948
109.056,2.0,0.65,0.007437616327084314,0.007468738411620262,0.0074005046880152485,38495,466.28626974864454,0.16,852,True,234553.03095070086,160335.09831986873,0.07962143411069948,0.1261914688960387
5.0215,6.0,0.7000000000000001,0.004233197107541399,0.004281672309153796,0.004187166188710848,14739,404.0269537311726,0.11,83,True,9678.948706333089,58324.527948022194,0.1261914688960387,0.20000000000000004
0.24299999999999997,6.0,0.8,0.002228292731314881,0.00232128359240289,0.002130228398247153,6922,291.173501331132,0.09,6,True,404.8887697996316,24694.149522225714,0.20000000000000004,0.31697863849222285
0.064,10.0,0.8,0.001287607382100775,0.00138166169310012,0.0012069709086549544,6949,278.3088809072165,0.08,2,True,84.8586220496629,21899.34752088917,0.31697863849222285,0.5023772863019165
0.04899999999999999,6.0,0.8,0.00080258894774433,0.0008758156294898818,0.0007141880224665106,9771,301.5542428852641,0.06999999999999999,2,True,35.87544728952939,25516.58885623522,0.5023772863019165,0.7962143411069947
0.036000000000000004,7.0,0.8,0.0010680841376677576,0.0011937745721096803,0.0009609946078938156,7552,238.80056847333702,0.060000000000000005,2,True,22.20114377245134,16000.564877154673,0.7962143411069947,1.2619146889603874
0.025000000000000005,10.0,0.75,0.001420939772347188,0.001584603846223225,0.0012191573233243523,6207,193.0056620328148,0.05,2,True,13.981688892929684,10450.36468938784,1.2619146889603874,2.0000000000000004
0.018000000000000002,6.0,0.75,0.0011634439235602588,0.0013540105371144544,0.0009427585126834695,8098,189.14422466663217,0.060000000000000005,1,True,5.69630121315666,10008.568187447003,2.0000000000000004,3.1697863849222285
0.037500000000000006,7.0,0.7000000000000001,0.0022323862804743116,0.0025647705637880797,0.0018149096321590818,6114,140.184997871284,0.05,3,True,7.2738838283336715,5512.734527148218,3.1697863849222285,5.023772863019165
0.012500000000000002,9.0,0.7000000000000001,0.0035818243675874405,0.004214696492766021,0.003120323874717849,4223,97.38315731294134,0.05,1,True,2.4002297333050495,2656.4208936146633,5.023772863019165,7.962143411069948
0.018000000000000002,6.0,0.7000000000000001,0.005490945011171377,0.006403336192106459,0.004720827632681686,4219,79.32126529698144,0.060000000000000005,1,True,2.2071518119762352,1764.5782689309592,7.962143411069948,12.619146889603874
0.07500000000000001,4.0,0.65,0.01409027538015549,0.01629049783663607,0.011689405993436118,3306,56.01877082968869,0.05,6,True,8.423163129402175,899.8540323541606,12.619146889603874,20.000000000000004
0.018000000000000002,5.0,0.6000000000000001,0.02155025350761929,0.025518315184364985,0.01906403491624535,2431,38.49202048798293,0.060000000000000005,1,True,1.2748834480091447,417.9080863492593,20.000000000000004,31.697863849222287
0.024499999999999994,3.0,0.55,0.04410899798513153,0.053077572797703185,0.03709738717037665,2063,27.112354327995927,0.06999999999999999,1,True,1.763324759557758,210.29111985507836,31.697863849222287,50.23772863019165
0.024499999999999994,3.0,0.45,0.1032822261629954,0.1283074391257413,0.08436148238705576,1526,17.47202141153493,0.06999999999999999,1,True,1.238628309481783,88.46274003615396,50.23772863019165,79.62143411069955
0.04899999999999999,2.0,0.45,0.33451577436523966,0.5100458723469253,0.24909174965360203,865,9.47422298618942,0.06999999999999999,2,True,1.4523263314046448,27.84348019076171,79.62143411069955,126.19146889603887
0.7225000000000001,2.0,0.35000000000000003,1.6546087034978552,3.167024756365285,1.0544832424066035,578,3.52411688223802,0.17,5,True,17.26569849782634,10.01290845884936,126.19146889603887,200.00000000000003
